"record_id","site","state_territory","source","county_fips","counties_served","population_served","sample_id","sample_collect_date","sample_type","sample_matrix","sample_location","flow_rate","concentration_method","pasteurized","pcr_type","extraction_method","major_lab_method","inhibition_detect","inhibition_adjust","ntc_amplify","pcr_target","pcr_gene_target_agg","pcr_target_avg_conc","pcr_target_units","lod_sewage","pcr_target_detect","pcr_target_avg_conc_lin","pcr_target_flowpop_lin","pcr_target_mic_lin","hum_frac_target_mic","hum_frac_mic_conc","hum_frac_mic_unit","rec_eff_percent","rec_eff_target_name","rec_eff_spike_matrix","rec_eff_spike_conc","date_updated"
"57e0d6783f36a6555d19c5401bc9ba18","2360","il","State_Territory","17089","Kane","25766","241a92726b87d670ae5f735faf80734c","2025-11-13","24-hr flow-weighted composite","raw wastewater","wwtp","3.44","ceres nanotrap","no","qiagen dpcr","thermo magmax microbiome ultra nucleic acid isolation kit","1","not tested",,"no","fluav","infa1 and infa2 combined","3825.0","copies/l wastewater","4050.0","no","2025.0","1023406.67546","0.0","pepper mild mottle virus","476940000","copies/l wastewater","109.57444","bcov vaccine","raw sample","5.884","2026-07-31T11:01:00.000"
"7bd446df5d628af84a9264bc321f7f2d","535","ia","CDC_Verily","19103","Johnson","75000","f4f419ac9f5add5046118a0564863689","2024-01-29","24-hr time-weighted composite","raw wastewater","wwtp","7.8","ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit","2","no","no","no","fluav","infa1","11992.48258","copies/l wastewater","1500.0","yes","11992.48258","4721219.72912","0.00010","pepper mild mottle virus","119939237.14462","copies/l wastewater","80.1","bcov vaccine","clarified sample","5.0","2026-07-31T11:01:00.000"
"d688a34557ebcf27626f5102eb92b3ca","516","in","State_Territory","18085","Kosciusko","21600","e03488bb0ea6f3694873d1c65cce3f95","2025-03-23","24-hr flow-weighted composite","raw wastewater","wwtp","3.14","ceres nanotrap","no","qiagen dpcr","promega ht tna kit","0","no","no","no","fluav","infa1 and infa2 combined","0.0","copies/l wastewater","24960.0","no","12480.0","6867556.8","0.00071","pmmov (gt-digital)","17504000","copies/l wastewater","257.73995","bcov vaccine","raw sample","4.63","2026-07-31T11:01:00.000"
"19ac8ccca997da12f9957f49daef2315","2412","al","State_Territory","01047","Dallas","19000","ec9236a49961a85cd94fd234a91a78e1","2026-07-14","24-hr time-weighted composite","raw wastewater","wwtp","2.3","ceres nanotrap","no","ddpcr","thermo magmax microbiome ultra nucleic acid isolation kit","2","no","no","no","fluav","infa1 and infa2 combined","0.0","copies/l wastewater","3275.8","no","1637.9","750539.22726","0.00019","pmmov (gt-digital)","8576893.717","copies/l wastewater","18.47","bcov vaccine","raw sample","5.0","2026-07-31T11:01:00.000"
"5f6b1ba2ed2e2ece6c44283a5e38e650","2453","ca","CDC_Verily","06039","Madera","60000","74bc15538ef60ad55521f177d91eeca2","2025-11-21","grab","post grit removal","wwtp","5.0","ceres nanotrap","no","ddpcr","thermo magmax viral/pathogen nucleic acid isolation kit","2","no","no","no","fluav","infa1 and infa2 combined","0.0","copies/l wastewater","1500.0","no","750.0","236587.5","0.0","pepper mild mottle virus","281519756.55385","copies/l wastewater","68.1","bcov vaccine","clarified sample","5.0","2026-07-31T11:01:00.000"
"41214e5d27db44d1f42cc845a92050f1","2156","wi","State_Territory","55105","Rock","63500","77fd025fb88d704f89a88639cb54ecfd","2023-01-30","24-hr flow-weighted composite","raw wastewater","wwtp","9.32","ceres nanotrap","no","qiagen dpcr","promega automated tna kit","2","no",,"no","fluav","infa1 and infa2 combined","0.0","copies/l wastewater","49893.0","no","24946.5","13860011.39924","0.00014","pepper mild mottle virus","176400000","copies/l wastewater","37.444","bcov vaccine","raw sample","4.767","2026-07-31T11:01:00.000"
"ff8d853400559eefa9cb9a4b5625a942","2113","wi","State_Territory","55025","Dane","391815","742cc4c80d07efe483f5fd94bcf99c3e","2023-08-08","24-hr flow-weighted composite","raw wastewater","wwtp","35.76","ceres nanotrap","no","qiagen dpcr","promega automated tna kit","2","no",,"no","fluav","infa1 and infa2 combined","0.0","copies/l wastewater","49893.0","no","24946.5","8618622.3706","0.000050","pepper mild mottle virus","469760000","copies/l wastewater","66.887","bcov vaccine","raw sample","4.863","2026-07-31T11:01:00.000"
"fc5639902213edc4b4f9a8555cfb8f0c","429","il","State_Territory","17031","Cook","1127736","b2257789777f6fcd2d5e40318050a51f","2023-01-26","24-hr time-weighted composite","raw wastewater","wwtp","515.0","ceres nanotrap","no","qiagen dpcr","thermo magmax microbiome ultra nucleic acid isolation kit","1","not tested",,"no","fluav","infa1 and infa2 combined","0.0","copies/l wastewater","4050.0","no","2025.0","3500552.45643","0.000010","pepper mild mottle virus","251420625","copies/l wastewater","105.05861","bcov vaccine","raw sample","6.53997","2026-07-31T11:01:00.000"
"6e65c64b530b3f0ee7894eaefeacca11","430","il","State_Territory","17031","Cook","217106","529952574d48ac6b7becfce023a4abce","2026-04-29","24-hr time-weighted composite","raw wastewater","wwtp","26.4","ceres nanotrap","no","qiagen dpcr","thermo magmax microbiome ultra nucleic acid isolation kit","1","not tested",,"no","fluav","infa1 and infa2 combined","0.0","copies/l wastewater","4050.0","no","2025.0","932113.73246","0.000010","pepper mild mottle virus","309531774.64738","copies/l wastewater","133.64455","bcov vaccine","raw sample","5.884","2026-07-31T11:01:00.000"
"fc22d56d3fd6e6b80a14de1d843de155","418","il","State_Territory","17031","Cook","13098","bc2b4b5f3d813bb44e8d32082900ddfd","2026-01-29","24-hr time-weighted composite","raw wastewater","wwtp","2.13","ceres nanotrap","no","qiagen dpcr","thermo magmax microbiome ultra nucleic acid isolation kit","1","not tested",,"no","fluav","infa1 and infa2 combined","12111.8478","copies/l wastewater","4050.0","yes","12111.8478","7455843.78152","0.000060","pepper mild mottle virus","208130915.4859","copies/l wastewater","33.87812","bcov vaccine","raw sample","5.884","2026-07-31T11:01:00.000"
